Eton Slow Course Doubles|5.1.125.3.125,123
Merton Slow Course Doubles|5.1.125.3.125,125
Blatherwycke Place Doubles|5.1.125.3.125,145
Kelleythorpe Place Doubles|5.1.125.3.145,123
Manthorpe Bob Doubles|5.1.125.3.345,123
Longworth Bob Doubles|5.1.125.3.345,125
Deenethorpe Bob Doubles|5.1.125.3.345,145
Boxford Bob Doubles|5.1.5.1.125,125
Pensthorpe Bob Doubles|5.1.5.1.145,123
Candlesby Slow Course Doubles|5.1.5.1.345,125
Boveney Slow Course Doubles|5.1.5.123.125,123
Slapton Slow Course Doubles|5.1.5.123.125,125
Barnwell Place Doubles|5.1.5.123.125,145
Freethorpe Place Doubles|5.1.5.123.145,123
Casthorpe Place Doubles|5.1.5.123.345,123
Welford Bob Doubles|5.1.5.123.345,125
Thorpe Waterville Place Doubles|5.1.5.123.345,145
Bedfont Slow Course Doubles|5.1.5.3.125,123
Rugby Slow Course Doubles|5.1.5.3.125,125
Clopton Bob Doubles|5.1.5.3.125,145
St Edmund Slow Course Doubles|5.1.5.3.145,125
Londonthorpe Bob Doubles|5.1.5.3.345,123
Braywood Bob Doubles|5.1.5.3.345,125
Luddington in the Brook Bob Doubles|5.1.5.3.345,145
St Ursula the Fat Slow Course Doubles|5.145.125.1.125,125
Pembrokeshire Slow Course Doubles|5.145.125.123.125,123
Oxfordshire Slow Course Doubles|5.145.125.123.125,125
Radnorshire Place Doubles|5.145.125.123.345,123
Rutland Bob Doubles|5.145.125.123.345,125
Glamorgan Slow Course Doubles|5.145.125.3.125,123
Northamptonshire Slow Course Doubles|5.145.125.3.125,125
Merionethshire Bob Doubles|5.145.125.3.345,123
Northumberland Bob Doubles|5.145.125.3.345,125
Cheshire Place Doubles|5.145.5.1.125,123
Dorset Place Doubles|5.145.5.1.125,145
Cornwall Slow Course Doubles|5.145.5.1.345,123
Durham Place Doubles|5.145.5.1.345,145
Denbighshire Slow Course Doubles|5.145.5.123.125,123
Leicestershire Slow Course Doubles|5.145.5.123.125,125
Flintshire Place Doubles|5.145.5.123.345,123
Lincolnshire Bob Doubles|5.145.5.123.345,125
Cardiganshire Slow Course Doubles|5.145.5.3.125,123
Huntingdonshire Slow Course Doubles|5.145.5.3.125,125
